name,type,genre,age_group,gender,image
Baby Einstein,movie,Educational,0-2,male,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy9iI6qxPgPWRiRad_Fcy2R-t4kbWV9pbvWQ&s"
Baby Mozart,movie,Educational,0-2,female,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaUMo6Kku0ubYVnwzFsVSL9wE_2aevTCFm_g&s"
Baby Sensory,series,Educational,0-2,male,"https://i.ytimg.com/vi/VGr2LzNukfw/maxresdefault.jpg"
Teletubbies,series,Entertainment,0-2,female,"https://m.media-amazon.com/images/M/MV5BZTEyOWRjYTUtMTE2ZC00NDhiLTkyMmQtNmMzNzdjZWQ4N2EzXkEyXkFqcGc@._V1_.jpg"
Sesame Street,series,Educational,0-2,male,"https://m.media-amazon.com/images/M/MV5BODM4NDI3OTcxN15BMl5BanBnXkFtZTgwNjc3MjIwMTI@._V1_FMjpg_UX1000_.jpg"
Finding Nemo,movie,Animation,3-9,male,"https://sesameworkshop.org/wp-content/uploads/2024/12/SST_S55_APL_2048x1536.png"
Frozen,movie,Animation,10-19,female,"https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_.jpg"
Toy Story,movie,Animation,3-9,male,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_.jpg"
The Lion King,movie,Animation,3-9,female,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_.jpg"
Paw Patrol,series,Adventure,3-9,male,"https://upload.wikimedia.org/wikipedia/en/5/5f/PAW_Patrol_Logo.png"
Peppa Pig,series,Family,3-9,female,"https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Peppa_Pig_logo.svg/1200px-Peppa_Pig_logo.svg.png"
SpongeBob SquarePants,series,Comedy,3-9,male,"https://m.media-amazon.com/images/M/MV5BNTk2NzEyNTQtZTQ5MS00MjAyLTgzMDMtNDNkYTBkM2M2OTU3XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_.jpg"
